ì˙ïtÇØ	èIíl	éníl	çÇíl	à¿íl	èoóàçÇ	ëOì˙î‰%	BTCåééüïΩãœ	ÉhÉãâ~ÉåÅ[ÉgåééüïΩãœ	ñ≥íSï€ÉRÅ[ÉãóÇì˙ï®åééüïΩãœ
ÇXåé 2018	"700,927"	"761,635"	"816,147"	"672,810"	0.21K	-9.42%	744478.5	103.81	-0.037
ÇWåé 2018	"773,790"	"868,340"	"913,831"	"653,644"	0.89K	-10.89%	783737.5	108.33	-0.049
ÇVåé 2018	"868,340"	"699,893"	"935,769"	"685,396"	0.88K	23.10%	810582.5	116.01	-0.044
ÇUåé 2018	"705,368"	"821,312"	"858,546"	"634,678"	1.01K	-14.43%	746612	114.69	-0.045
ÇTåé2018	"824,313"	"1,015,504"	"1,087,841"	0	1.13K	-18.83%	543920.5	113.13	-0.038
ÇSåé2018	"1,015,504"	"735,125"	"1,076,648"	"676,906"	1.33K	38.14%	876777	113.02	-0.042
ÇRåé 2018	"735,125"	"1,101,869"	"1,250,343"	"715,660"	1.55K	-36.56%	983001.5	110.08	-0.054
ÇQåé 2018	"1,158,702"	"1,087,452"	"1,326,113"	"603,070"	2.31K	6.55%	964591.5	112.24	-0.053
ÇPåé 2018	"1,087,452"	"1,656,187"	"2,154,207"	0	4.68K	-34.34%	1077103.5	110.89	-0.056
12åé 2017	"1,656,187"	"1,153,536"	"2,315,512"	0	3.19K	43.57%	1157756	112.5	-0.054
11åé 2017	"1,153,536"	"729,017"	"2,570,511"	"662,666"	2.99K	58.23%	1616588.5	109.9	-0.049
10åé 2017	"729,017"	"489,003"	"733,024"	"466,627"	1.40K	49.08%	599825.5	110.67	-0.058
ÇXåé 2017	"489,003"	"522,489"	"585,203"	"309,643"	3.79K	-6.41%	447423	112.94	-0.037
ÇWåé 2017	"522,489"	"315,083"	"531,332"	"290,740"	3.23K	65.83%	411036	112.89	-0.048
ÇVåé 2017	"315,083"	"280,085"	"316,191"	"207,666"	2.54K	12.23%	261928.5	112.96	-0.042
ÇUåé 2017	"280,741"	"262,456"	"361,345"	"241,493"	2.22K	6.97%	301419	110.74	-0.04
ÇTåé2017	"262,456"	"147,368"	"382,689"	"144,758"	3.07K	78.10%	263723.5	107.9	-0.042
ÇSåé2017	"147,368"	"120,420"	"150,747"	"114,646"	1.81K	22.38%	132696.5	106.01	-0.062
ÇRåé 2017	"120,420"	"134,747"	"152,097"	"100,518"	2.92K	-10.63%	126307.5	107.49	-0.063
ÇQåé 2017	"134,747"	"108,192"	"137,981"	"99,136"	2.11K	24.54%	118558.5	109.74	-0.061
ÇPåé 2017	"108,192"	"111,316"	"139,065"	"87,043"	3.09K	-2.81%	113054	110.02	-0.071
12åé 2016	"111,316"	"80,161"	"114,678"	"80,161"	2.53K	38.87%	97419.5	111.41	-0.07
11åé 2016	"80,161"	"72,099"	"84,361"	"67,554"	2.41K	11.18%	75957.5	111.06	-0.059
10åé 2016	"72,099"	"59,446"	"76,079"	"56,624"	3.01K	21.28%			